Title, Price ,Village,Kaza,Summary,Area,Furnished?,Floor Number,Details,Website
New apartment with garden for sale with splendid views,"$300,000 ",Qornet El Hamra, Metn,Bedroom(s): 3 | Bathroom(s): 4,250 SQM,Unfurnished,2,"This property contains: Balcony, Covered Parking, Maids Room, Private Garden",https://olx.com.lb/ad/new-apartment-with-garden-for-sale-with-splendid-views-ID114160905.html
Hot Deal at Waterfront Dbaye full view promenade apartment for Sale!,"$1,300,000 ",Dbaye, Metn,Bedroom(s): 3 | Bathroom(s): 5,344 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Security, Elevator, Storage room",https://olx.com.lb/ad/hot-deal-at-waterfront-dbaye-full-view-promenade-apartment-for-sale-ID114896061.html
For sake appt in Awkar,"$130,000 ",Awkar, Metn,Bedroom(s): 2 | Bathroom(s): 3,140 SQM,Unfurnished,3,"This property contains: Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Walk-in Closet, Elevator",https://olx.com.lb/ad/for-sake-appt-in-awkar-ID114896039.html
For sale villa in Ennebet Baabdat,"$1,450,000 ",Broummana, Metn,Bedroom(s): 5 | Bathroom(s): 7,"1,200 SQM",Unfurnished,4,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Private Pool, Walk-in Closet",https://olx.com.lb/ad/for-sale-villa-in-ennebet-baabdat-ID111820846.html
"Hot Deal (200sq) In Yarzeh Prime, ??? ????? ?? ????","$350,000 ",Yarzeh, Baabda,Bedroom(s): 3 | Bathroom(s): 3,200 SQM,Appliances only,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Pets Allowed, Security, Study",https://olx.com.lb/ad/hot-deal-200sq-in-yarzeh-prime-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%8A%D8%B1%D8%B2%D9%87-ID114682202.html
185M2 Brand New “Last Unit” in Kannabet Broumana,"$230,000 ",Bsalim, Metn,Bedroom(s): 3 | Bathroom(s): 4,185 SQM,Unfurnished,2,No Data,https://olx.com.lb/ad/185m2-brand-new-last-unit-in-kannabet-broumana-ID114826885.html
Ballouneh 140m2 | Panoramic View | Upgraded | Excellent Condition |,"$100,000 ",Ballouneh, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,140 SQM,Unfurnished,3,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking",https://olx.com.lb/ad/ballouneh-140m2-panoramic-view-upgraded-excellent-condition-ID111516375.html
Sheileh 210m2 | High-End | Panoramic View | Private Street | Sehayleh,"$220,000 ",Sehayleh, Keserouan,Bedroom(s): 3 | Bathroom(s): 5,210 SQM,No Data,2,No Data,https://olx.com.lb/ad/sheileh-210m2-high-end-panoramic-view-private-street-sehayleh-ID114242701.html
Ballouneh 160M2 + 20m2 Terrace | New | Luxurious | Mountain View |,"$147,000 ",Ballouneh, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,160 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Maids Room, Storage room",https://olx.com.lb/ad/ballouneh-160m2-20m2-terrace-new-luxurious-mountain-view-ID114859650.html
Brand New Furnished and Equipped Apartment for SALE,"$452,000 ",Mar Mkhayel, Beirut,Bedroom(s): 3 | Bathroom(s): 2,143.5 SQM,No Data,7,"This property contains: Built in Kitchen Appliances, Central A/C & heating, Pets Allowed, Security, Elevator, Attic/ Loft",https://olx.com.lb/ad/brand-new-furnished-and-equipped-apartment-for-sale-ID114884554.html
For sale appt in Hosrayel,"$53,000 ",Hosrayel, Jbeil,Bedroom(s): 2 | Bathroom(s): 2,100 SQM,Unfurnished,3,No Data,https://olx.com.lb/ad/for-sale-appt-in-hosrayel-ID114512540.html
For sale in Bhamdoun,"$750,000 ",Bhamdoun, Aley,Bedroom(s): 5 | Bathroom(s): 5,"2,400 SQM",No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Private Garden, Walk-in Closet",https://olx.com.lb/ad/for-sale-in-bhamdoun-ID111509719.html
L09510-Cabine for Sale in a reputable project in Beirut,"$25,000 ",Rawche, Beirut,Bedroom(s): Studio | Bathroom(s): 0,12 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/l09510-cabine-for-sale-in-a-reputable-project-in-beirut-ID114339291.html
Pay In Lebanon! Studio for sale in Athens - FC2357,"$77,500 ",Athens, Greece,Bedroom(s): 1 | Bathroom(s): 1,50 SQM,No Data,2,"This property contains: Balcony, Built in Kitchen Appliances, Pets Allowed, Security, Study, Walk-in Closet, Elevator, Fireplace",https://olx.com.lb/ad/pay-in-lebanon-studio-for-sale-in-athens-fc2357-ID114866760.html
"??? ????? ?? ????? 278 ??? ???? ? 205,000$","$205,000 ",Aaramoun, Aley,Bedroom(s): 4 | Bathroom(s): 6,278 SQM,Unfurnished,5,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B9%D8%B1%D9%85%D9%88%D9%86-278-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-205000-ID114866696.html
474Sqm Luxurious Apartment for Sale In Downtown,"$2,500,000 ",Downtown, Beirut,Bedroom(s): 4 | Bathroom(s): 6,474 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/474sqm-luxurious-apartment-for-sale-in-downtown-ID114866678.html
Penthouse for sale in Larnaka - FC2346,"$200,000 ",Larnaca, Cyprus,Bedroom(s): 3 | Bathroom(s): 2,130 SQM,No Data,4,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Pets Allowed, Security, Study, Walk-in Closet, Elevator, Fireplace",https://olx.com.lb/ad/penthouse-for-sale-in-larnaka-fc2346-ID114864488.html
House for sale in Larnaka - FC2348,"$310,000 ",Larnaca, Cyprus,Bedroom(s): 3 | Bathroom(s): 3,180 SQM,No Data,1,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Private Garden, Study, Walk-in Closet, Fireplace, Playroom, Storage room",https://olx.com.lb/ad/house-for-sale-in-larnaka-fc2348-ID114864447.html
Apartment for sale in Larnaka - FC2344,"$155,000 ",Larnaca, Cyprus,Bedroom(s): 2 | Bathroom(s): 1,100 SQM,No Data,2,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Pets Allowed, Study, Walk-in Closet, Elevator, Fireplace",https://olx.com.lb/ad/apartment-for-sale-in-larnaka-fc2344-ID114864432.html
"A Catch in Saifi! Modern, Brand-New 172 sqm with Sea View","$550,000 ",Saifi, Beirut,Bedroom(s): 2 | Bathroom(s): 4,172 SQM,Unfurnished,No Data,"This property contains: Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Maids Room, Pets Allowed, Security, Elevator, Storage room",https://olx.com.lb/ad/a-catch-in-saifi-modern-brand-new-172-sqm-with-sea-view-ID114864180.html
A Catch in Mazraat Yachouh ! Lovely 165 sqm Ap. + 60 Sqm Terrace,"$140,000 ",Mazraat Yachouh, Metn,Bedroom(s): 3 | Bathroom(s): 3,225 SQM,Unfurnished,1,"This property contains: Balcony, Built in Kitchen Appliances, Pets Allowed, Private Garden, Elevator",https://olx.com.lb/ad/a-catch-in-mazraat-yachouh-lovely-165-sqm-ap-60-sqm-terrace-ID114864068.html
Apartment for sale in Larnaka centre - FC2344,"$155,000 ",Larnaca, Cyprus,Bedroom(s): 2 | Bathroom(s): 1,100 SQM,No Data,2,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Pets Allowed, Security, Study, Walk-in Closet, Elevator, Fireplace",https://olx.com.lb/ad/apartment-for-sale-in-larnaka-centre-fc2344-ID114853300.html
Furnished Apartment for sale in Larnaka – FC2340,"$250,000 ",Larnaca, Cyprus,Bedroom(s): 3 | Bathroom(s): 3,146 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Pets Allowed, Security, Shared Pool, Study, Elevator, Fireplace",https://olx.com.lb/ad/furnished-apartment-for-sale-in-larnaka-fc2340-ID114844885.html
Payment's Facilities. Apartment for sale in Larnaka center – FC2338,"$195,000 ",Larnaca, Cyprus,Bedroom(s): 2 | Bathroom(s): 2,100 SQM,Unfurnished,1,"This property contains: Balcony, Covered Parking, Pets Allowed, Security, Study, Elevator, Fireplace",https://olx.com.lb/ad/payments-facilities-apartment-for-sale-in-larnaka-center-fc2338-ID114844313.html
Pay In Lebanon! Studio for sale in Athens - FC2319,"$100,000 ",Athens, Greece,Bedroom(s): 1 | Bathroom(s): 1,50 SQM,Appliances only,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Pets Allowed, Private Garden, Security, Elevator, Fireplace",https://olx.com.lb/ad/pay-in-lebanon-studio-for-sale-in-athens-fc2319-ID114776634.html
"Pay In Lebanon! Studio for sale in Athens, center Spartis 20- FC2294","$50,000 ",Athens, Greece,Bedroom(s): 1 | Bathroom(s): 1,42 SQM,Unfurnished,1,"This property contains: Balcony, Pets Allowed, Security, Study, Elevator, Fireplace",https://olx.com.lb/ad/pay-in-lebanon-studio-for-sale-in-athens-center-spartis-20-fc2294-ID114608618.html
"120 SQM Apartment in Zouk Mikael, Keserwan","$85,000 ",Zouk Mikael, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,120 SQM,Unfurnished,4,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating",https://olx.com.lb/ad/120-sqm-apartment-in-zouk-mikael-keserwan-ID114582175.html
"Decorated Apartment for Sale in Zouk Mosbeh, Keserwan","$80,000 ",Zouk Mosbeh, Keserouan,Bedroom(s): 2 | Bathroom(s): 2,110 SQM,Unfurnished,4,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating",https://olx.com.lb/ad/decorated-apartment-for-sale-in-zouk-mosbeh-keserwan-ID114582074.html
Pay In Lebanon! Apartment for Sale in Greece -  Athens - FC2280,"$85,000 ",Athens, Greece,Bedroom(s): 1 | Bathroom(s): 1,50 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Pets Allowed, Security, Study, Elevator, Fireplace",https://olx.com.lb/ad/pay-in-lebanon-apartment-for-sale-in-greece-athens-fc2280-ID112958742.html
Pay In Lebanon! Apartment for Sale in Greece - Athens - FC2281,"$78,750 ",Athens, Greece,Bedroom(s): 1 | Bathroom(s): 1,31 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Pets Allowed, Private Garden, Security, Elevator, Fireplace",https://olx.com.lb/ad/pay-in-lebanon-apartment-for-sale-in-greece-athens-fc2281-ID112958498.html
Pay In Lebanon! Apartment for Sale in Greece - Athens - FC2136,"$50,000 ",Athens, Greece,Bedroom(s): 1 | Bathroom(s): 1,38 SQM,Unfurnished,No Data,"This property contains: Balcony, Pets Allowed, Private Garden, Security, Study, Elevator, Fireplace",https://olx.com.lb/ad/pay-in-lebanon-apartment-for-sale-in-greece-athens-fc2136-ID112893943.html
"Fantastic, Luxurious & Modern 155 Sqm Apartment in Ain Saade- Sea View","$230,000 ",Ain Saadeh, Metn,Bedroom(s): 3 | Bathroom(s): 4,155 SQM,Unfurnished,3,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed",https://olx.com.lb/ad/fantastic-luxurious-modern-155-sqm-apartment-in-ain-saade-sea-view-ID111668286.html
Apartment for sale in Baabdet Cash REF #7562928,"$90,000 ",Baabdat, Metn,Bedroom(s): 3 | Bathroom(s): 1,135 SQM,No Data,2,No Data,https://olx.com.lb/ad/apartment-for-sale-in-baabdet-cash-ref-7562928-ID114896009.html
RWK189/S - For Sale used apartment in Adonis with open view,"$60,000 ",Zouk Mosbeh, Keserouan,Bedroom(s): 2 | Bathroom(s): 2,110 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/rwk189s-for-sale-used-apartment-in-adonis-with-open-view-ID114895997.html
"RWK190/S - For Sale, under construction apartment in ghedres","$115,000 ",Ghedras, Keserouan,Bedroom(s): 2 | Bathroom(s): 3,130 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/rwk190s-for-sale-under-construction-apartment-in-ghedres-ID114895973.html
RWK191/S - For Sale under Construction apartment in Ghedress,"$160,000 ",Ghedras, Keserouan,Bedroom(s): 2 | Bathroom(s): 3,130 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/rwk191s-for-sale-under-construction-apartment-in-ghedress-ID114895964.html
RWK192/S - Fully Furnished apartment for sale in Adonis with terrace,"$140,000 ",Adonis, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,160 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/rwk192s-fully-furnished-apartment-for-sale-in-adonis-with-terrace-ID114895955.html
??? ? ??? ????? ??? ? ????? ??? ??????????? Nabatieh,"$65,000 ",Other in Nabatieh, Nabatieh,Bedroom(s): 3 | Bathroom(s): 2,140 SQM,No Data,1,"This property contains: Balcony, Elevator",https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%A5-%D8%BA%D8%B1%D9%81-%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D8%B9%D9%84%D9%89-%D8%AE%D9%85%D8%B3-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-%D8%AD%D8%A8%D9%88%D8%B4-nabatieh-ID114855001.html
??? ?? ????? ? ???? ????? ?????  ????? ????? ???? - ???? Nabatieh,"$75,000 ",Other in Nabatieh, Nabatieh,Bedroom(s): 3 | Bathroom(s): 3,145 SQM,No Data,1,This property contains: Balcony,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%B2%D9%81%D8%AA%D8%A7-%D9%85%D8%B9-%D8%B3%D8%B7%D8%AD-nabatieh-ID111244018.html
SPECIOUS HIGH FLOOR APARTMENT / ACHRAFIEH,"$760,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 5,235 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Covered Parking, Maids Room, Pets Allowed, Security, Storage room",https://olx.com.lb/ad/specious-high-floor-apartment-achrafieh-ID114895913.html
RWK196/S - Well Maintained apartment for Sale in Zouk Mosbeh,"$90,000 ",Zouk Mosbeh, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,150 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/rwk196s-well-maintained-apartment-for-sale-in-zouk-mosbeh-ID114895909.html
Mtayleb | Apartment For Sale | ??? ????? | ????? | RGMS598,"$380,000 ",Mtayleb, Metn,Bedroom(s): 3 | Bathroom(s): 5,350 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Storage room",https://olx.com.lb/ad/mtayleb-apartment-for-sale-%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D9%85%D8%AA%D9%86-rgms598-ID114809254.html
Apartment for Sale in Beit El Chaar,"$220,000 ",Beit El Chaar, Metn,Bedroom(s): 4 | Bathroom(s): 5,290 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/apartment-for-sale-in-beit-el-chaar-ID114653330.html
"240 SQM Duplex in Beit El Chaar, Metn with Sea and Mountain View","$159,000 ",Beit El Chaar, Metn,Bedroom(s): 3 | Bathroom(s): 3,240 SQM,Unfurnished,5,"This property contains: Balcony, Built in Kitchen Appliances, Covered Parking, Maids Room",https://olx.com.lb/ad/240-sqm-duplex-in-beit-el-chaar-metn-with-sea-and-mountain-view-ID112652775.html
380Sqm Apartment For Sale In Achrafieh - High Floor,"$1,100,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 5,380 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/380sqm-apartment-for-sale-in-achrafieh-high-floor-ID114866659.html
MODERN APARTMENT ( 170 SQM + 150 SQM ROOF) FOR SALE IN QARTBOUN!,"$190,000 ",Kartaboun, Jbeil,Bedroom(s): 3 | Bathroom(s): 3,170 SQM,No Data,No Data,"This property contains: Balcony, Covered Parking",https://olx.com.lb/ad/modern-apartment-170-sqm-150-sqm-roof-for-sale-in-qartboun-ID114866500.html
"PANORAMIC SEA VIEW In AIN AL MRAISEH , ??? ????? ?? ??? ???????","$650,000 ",Ain Al Mraiseh, Beirut,Bedroom(s): 3 | Bathroom(s): 3,220 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Private Garden",https://olx.com.lb/ad/panoramic-sea-view-in-ain-al-mraiseh-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B9%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D8%B1%D9%8A%D8%B3%D9%87-ID114787265.html
Apartment for sale in sehayle 195 SQM REF#NW56136,"$130,000 ",Sehayleh, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,195 SQM,Appliances only,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking",https://olx.com.lb/ad/apartment-for-sale-in-sehayle-195-sqm-refnw56136-ID114786567.html
Duplex for sale in sehayle 400 SQM REF#NW56135,"$300,000 ",Sehayleh, Keserouan,Bedroom(s): 4 | Bathroom(s): 3,400 SQM,Appliances only,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Maids Room, Pets Allowed, Private Garden, Attic/ Loft, Storage room",https://olx.com.lb/ad/duplex-for-sale-in-sehayle-400-sqm-refnw56135-ID114786495.html
MODERN APARTMENT (170sqm) FOR SALE IN KASLIK!,"$220,000 ",Kaslik, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,170 SQM,No Data,2,"This property contains: Balcony, Covered Parking, Maids Room, Elevator, Storage room",https://olx.com.lb/ad/modern-apartment-170sqm-for-sale-in-kaslik-ID114877527.html
200Sqm Apartment For Sale In Achrafieh,"$449,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 4,200 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/200sqm-apartment-for-sale-in-achrafieh-ID114848987.html
Decorated 170 m2 Apartment with 3 Bedrooms in Hazmieh For sale 175000$,"$175,000 ",Hazmiyeh, Baabda,Bedroom(s): 3 | Bathroom(s): 4,170 SQM,Unfurnished,1,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Storage room",https://olx.com.lb/ad/decorated-170-m2-apartment-with-3-bedrooms-in-hazmieh-for-sale-175000-ID114771958.html
Ajaltoun 200m2 | 80m2 Garden | Sea View | Luxurious | Catch |,"$155,000 ",Ajaltoun, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,200 SQM,Unfurnished,No Data,"This property contains: Central A/C & heating, Maids Room, Private Garden, Storage room",https://olx.com.lb/ad/ajaltoun-200m2-80m2-garden-sea-view-luxurious-catch-ID114835351.html
??? ?? ??? ??? ??? ????? ???? ??? ?????? ?????? ??????,"$500,000 ",Tyre Town, Tyre,Bedroom(s): 4 | Bathroom(s): 4,825 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/%D9%82%D8%B5%D8%B1-%D9%81%D9%8A-%D8%B5%D9%88%D8%B1-%D8%B9%D9%84%D9%89-%D8%A7%D8%B1%D8%B6-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%A4%D9%A5%D9%A8%D9%A5-%D9%85%D8%AA%D8%B1-%D9%88%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D8%B1-%D9%A8%D9%A2%D9%A5%D9%85%D8%AA%D8%B1-ID114884570.html
Lofty penthouse with large Terrace 450sqm indoor outdoor,"$650,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 4,250 SQM,Unfurnished,8,"This property contains: Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Security, Walk-in Closet",https://olx.com.lb/ad/achrafieh-brand-new-high-ceilings-250sqm-apart-security-parkings-ID114170691.html
Apartment for sale in jbeil 200 SQM REF#MC54037,"$300,000 ",Jbeil Town, Jbeil,Bedroom(s): 3 | Bathroom(s): 4,200 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room",https://olx.com.lb/ad/apartment-for-sale-in-jbeil-200-sqm-refmc54037-ID114490650.html
downtown Beirut new apartment cash payment Ref # 1100,"$785,000 ",Ain Al Mraiseh, Beirut,Bedroom(s): 2 | Bathroom(s): 3,170.45 SQM,No Data,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Security",https://olx.com.lb/ad/downtown-beirut-new-apartment-cash-payment-ref-1100-ID111485584.html
luxurious apartment in jnah for sale ref#4491,"$615,000 ",Jnah, Beirut,Bedroom(s): 4 | Bathroom(s): 6,370 SQM,Unfurnished,No Data,"This property contains: Balcony, Covered Parking, Maids Room",https://olx.com.lb/ad/luxurious-apartment-in-jnah-for-sale-ref4491-ID114548262.html
Sale apartment in Baabdat with terrace Ref#4288,"$275,000 ",Baabdat, Metn,Bedroom(s): 3 | Bathroom(s): 3,140 SQM,Unfurnished,No Data,"This property contains: Balcony, Covered Parking",https://olx.com.lb/ad/sale-apartment-in-baabdat-with-terrace-ref4288-ID114347033.html
khenchara brand new apartment open view Ref # 2454,"$116,000 ",Khenchara, Metn,Bedroom(s): 2 | Bathroom(s): 2,116 SQM,No Data,No Data,This property contains: Balcony,https://olx.com.lb/ad/khenchara-brand-new-apartment-open-view-ref-2454-ID110821391.html
mtayleb apartment with 180 sqm roof and terrace sea view Ref # 2395,"$450,000 ",Mtayleb, Metn,Bedroom(s): 3 | Bathroom(s): 3,180 SQM,No Data,No Data,"This property contains: Balcony, Built in Wardrobes, Central A/C & heating, Covered Parking",https://olx.com.lb/ad/mtayleb-apartment-with-180-sqm-roof-and-terrace-sea-view-ref-2395-ID110662064.html
Get this 280 SQM Duplex in Adma! REF#HW51695,"$260,000 ",Adma w Dafnah, Keserouan,Bedroom(s): 4 | Bathroom(s): 4,280 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/get-this-280-sqm-duplex-in-adma-refhw51695-ID114812031.html
Get this Furnished Unblockable View apartment in kfarhbab! REF#HW51497,"$400,000 ",Kfar Hbab, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,325 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/get-this-furnished-unblockable-view-apartment-in-kfarhbab-refhw51497-ID114724198.html
Fully furnished & renovated apartment in batroun town! REF#RI51373,"$165,000 ",Batroun Town, Batroun,Bedroom(s): 2 | Bathroom(s): 2,200 SQM,No Data,No Data,"This property contains: Central A/C & heating, Covered Parking",https://olx.com.lb/ad/fully-furnished-renovated-apartment-in-batroun-town-refri51373-ID114674849.html
Sahel Aalma | Jounieh | Apartment For Sale | ???? ???? | REF: RGKS70,"$350,000 ",Sahel Alma, Keserouan,Bedroom(s): 3 | Bathroom(s): 5,350 SQM,Unfurnished,5,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room",https://olx.com.lb/ad/sahel-aalma-jounieh-apartment-for-sale-%D8%B3%D8%A7%D8%AD%D9%84-%D8%B9%D9%84%D9%85%D8%A7-ref-rgks70-ID114809948.html
Check this 751 SQM VILLA for sale now in Monsef! REF2 JZ21095,"$1,500,000 ",Monsef, Jbeil,Bedroom(s): 3 | Bathroom(s): 4,751 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/check-this-751-sqm-villa-for-sale-now-in-monsef-ref2-jz21095-ID114431825.html
240sqm apartment + 90sqm garden + 30sqm terrace in kehale! REF#MH20728,"$160,000 ",Kahaleh, Aley,Bedroom(s): 3 | Bathroom(s): 3,280 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/240sqm-apartment-90sqm-garden-30sqm-terrace-in-kehale-refmh20728-ID112950635.html
OWN This 155 sqm Apartment in Jal el Dib REF2 JZ21195,"$95,000 ",Jal El Dib, Metn,Bedroom(s): 3 | Bathroom(s): 2,155 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/own-this-155-sqm-apartment-in-jal-el-dib-ref2-jz21195-ID114540102.html
OWN This 210 sqm Apartment in Sahel alma REF2 BT21198,"$130,000 ",Sahel Alma, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,210 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/own-this-210-sqm-apartment-in-sahel-alma-ref2-bt21198-ID114540075.html
Hot deal in jal el dib brand new apartment for sale! REF1 NB70706,"$135,000 ",Jal El Dib, Metn,Bedroom(s): 3 | Bathroom(s): 3,135 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/hot-deal-in-jal-el-dib-brand-new-apartment-for-sale-ref1-nb70706-ID114540065.html
Stunning 180sqm apartment in Baabdat + 210sqm terrace! REF#MN21111,"$370,000 ",Baabdat, Metn,Bedroom(s): 3 | Bathroom(s): 3,250 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/stunning-180sqm-apartment-in-baabdat-210sqm-terrace-refmn21111-ID114437717.html
Luxurious villa located in a gated community in faitroun! REF#GP70385,"$750,000 ",Faitroun, Keserouan,Bedroom(s): 5 | Bathroom(s): 7,667 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/luxurious-villa-located-in-a-gated-community-in-faitroun-refgp70385-ID114336418.html
Get this brand new beautiful 150sqm apartment in Rayfoun! REF#KU80203,"$135,000 ",Rayfoun, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,150 SQM,No Data,No Data,"This property contains: Covered Parking, Elevator",https://olx.com.lb/ad/get-this-brand-new-beautiful-150sqm-apartment-in-rayfoun-refku80203-ID114824653.html
Very cozy 200sqm apartment on the Fanar main road! REF#AY70801,"$175,000 ",Fanar, Metn,Bedroom(s): 3 | Bathroom(s): 3,200 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/very-cozy-200sqm-apartment-on-the-fanar-main-road-refay70801-ID114534095.html
Enjoy nature in a quiet location in Batroun ! REF#MF70800,"$84,000 ",Batroun Town, Batroun,Bedroom(s): 3 | Bathroom(s): 2,136 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/enjoy-nature-in-a-quiet-location-in-batroun-refmf70800-ID114534020.html
TRULY UNIQUE  BRAND NEW APARTMENT WITH TERRACE! REF#GP70156,"$103,000 ",Ajaltoun, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,170 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/truly-unique-brand-new-apartment-with-terrace-refgp70156-ID114174681.html
UNBEATABLE DEAL! $1000/sqm apartment in Horsh Tabet! REF#HH16499,"$225,000 ",Horsh Tabet, Metn,Bedroom(s): 3 | Bathroom(s): 4,225 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/unbeatable-deal-1000sqm-apartment-in-horsh-tabet-refhh16499-ID114145347.html
